[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\hook.log)
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: 32vzs2LCOOpcD//qz24pk7I/s6tmyj9F5p3Rz7V0NE8=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: S6T01ZU/b9dJTdF0wHfd/9cSHwT8xNGbIfiNg7DUbBY=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: ZeaL1rbDxhwdxiNN5WrqvsSiddWCPep/Rjq/pclwF6w=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: VeRsPjPW77xaGWRZTbzAXpOQ0YK9Sy2NHeaCSKMvr3s=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: wlc4nl5HYuX5bilCyiZU1dxfu1IBnQey7WRNmy6i4c8=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: kI9LiLptLWPfUzPpkU9ME5BQ61We8nAIFS2H54yjf2E=
[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log)
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: rmbWf0SzuG3ghmgmzbHga7DLNcSFz/WIzJ9silcmeEs=
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\logs.log) SHA256SUM: h/uMIq5iRZiy5CPCWW7t3fxEUiYXMzTAC0tne9+YPsg=
[06.10.2022 20:54:40] File Deleted | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
[06.10.2022 20:54:40] File Edited | (C:\Users\Svvayyz\source\repos\protection.solutions\protection.solutions\bin\Debug\Files\logs.log) SHA256SUM: File is already used by another process
